Indicator Code: CG0000
"Indicator Name: All Causes"
Export date: 6/11/2023 10:34:02 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-Y89"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CSA,Central and South America,ARG,Argentina,2020,Female,Age60_64,[60-64],10196.00000000,100.00000000,,1012.84634060,
CSA,Central and South America,ARG,Argentina,2020,Female,Age65_69,[65-69],13667.00000000,100.00000000,,1519.80855330,
CSA,Central and South America,ARG,Argentina,2020,Female,Age70_74,[70-74],17557.00000000,100.00000000,,2315.16706730,
CSA,Central and South America,ARG,Argentina,2020,Female,Age75_79,[75-79],21462.00000000,100.00000000,,3715.23137540,
CSA,Central and South America,ARG,Argentina,2020,Female,Age80_84,[80-84],26059.00000000,100.00000000,,6411.27206880,
CSA,Central and South America,ARG,Argentina,2020,Female,Age85_over,[85+],61862.00000000,100.00000000,,15575.34512100,
CSA,Central and South America,ARG,Argentina,2020,Female,Age_unknown,[Unknown],1056.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age00,[0],29.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age01_04,[1-4],6.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age05_09,[5-9],6.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age10_14,[10-14],3.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age15_19,[15-19],17.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age20_24,[20-24],25.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age25_29,[25-29],23.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age30_34,[30-34],25.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age35_39,[35-39],45.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age40_44,[40-44],43.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age45_49,[45-49],55.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age50_54,[50-54],108.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age55_59,[55-59],142.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age60_64,[60-64],234.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age65_69,[65-69],319.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age70_74,[70-74],364.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age75_79,[75-79],370.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age80_84,[80-84],376.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age85_over,[85+],684.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Unknown,Age_unknown,[Unknown],296.00000000,100.00000000,,,
